"Facility Name","Street Address","Zip Code",Hours,Website,"Phone Number","Other Phone","Building ID","Ownership Status",Owner,"Occupying Division","Occupancy Type","Sq. Ft. ","Year Built ",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Bastrop WIC Clinic","443 Texas Highway 71
Bastrop, Texas 78602
(30.10646853400044, -97.33211573399967)",78602,"Monday 7:30am to 7pm, closed 12 noon to 1pm; Tuesday and Friday closed; Wednesday and Thursday 7:30 am to 4:30 pm, closed 12 noon to 12:30 pm (closed second Wednesday of each month); Second Saturday of each month 8am to 12 noon",,512-972-4942,,BAS,Lease,"The Marketplace at Bastrop","Community Services ",Clinic,1400,N/A,30.107819,-97.331892,0.8,rooftop,443,"W Sh 71",Bastrop,TX,"Bastrop County",78602,US,Capcog
"Blackland Neighborhood Center","2005 Salina St
Austin, Texas 78722
(30.280750365000472, -97.72245940699969)",78722,"Monday to Thursday 8am to 6pm; Friday 8am to 12noon",,512-972-5790,,BNC,Own,"City of Austin","Community Services","Neighborhood Center, Offices ",347,1984,30.280973,-97.722213,1,rooftop,2005,"Salina St",Austin,TX,"Travis County",78722,US,Capcog
"Clarksville Community Health Center","1000 Toyath Street
Austin, Texas 78703
(30.28122053000044, -97.76330054699969)",78703,"Monday to Friday, 8am - 4:30pm",http://www.austintexas.gov/department/clarksville-community-health-center,,,CNC,Own,"City of Austin","Disease Prevnetion and Health Promotion","Clinic, Offices ",3500,N/A,30.281073,-97.763644,1,rooftop,1000,"Toyath St",Austin,TX,"Travis County",78703,US,Capcog
"Del Valle WIC Clinic","3518 FM 973
Del Valle, Texas 78617
(30.198796, -97.642069)",78617,"Monday 8am to 7pm; closed 12 noon to 12:30pm; First and third Thursday of each month 8am to 4:30 pm, closed 12 noon to 12:30pm",http://www.austintexas.gov/department/del-valle-wic-clinic,512-972-4942,,DEL,N/A,"Travis County ","Community Services ","Clinic ",1000,N/A,30.19894,-97.642824,1,rooftop,3518,"S Fm 973rd Rd","Del Valle",TX,"Travis County",78617,US,Capcog
"East Austin Neighborhood Center","211 Comal St
Austin, Texas 78702
(30.259718, -97.727464)",78702,"Monday toThursday 8am to 6pm; Friday 8am to noon",http://www.austintexas.gov/department/east-austin-neighborhood-center,512-972-6650,,EAN,Own,"City of Austin","Community Services ","Clinic, Neighborhood Center ",4304,1981,30.259559,-97.727785,1,rooftop,211,"Comal St",Austin,TX,"Travis County",78702,US,Capcog
"Vital Records","7201 Levander Loop, Building C
Austin, Texas
(30.252329, -97.690404)",78702,"Monday to Friday, 8am to 4:30pm",https://austintexas.gov/birthcertificates,512-972-4784,,,,,,,,,30.251395,-97.690429,0.9,rooftop,7201,"Levander Loop",Austin,TX,"Travis County",78721,US,Capcog
"Dove Springs WIC Center","6801 South IH-35, Suite I &amp; J
Austin, Texas 78744
(30.187722, -97.770861)",78744,"Monday and Tuesday 7:30am to 7:00pm, closed 12 noon to 1:00pm; Wednesday and Thursday 7:30am to 4:30pm, closed 12 noon to 12:30pm; Closed second Wednesday of each month; Friday 7:30am to 12 noon; Second Saturday of each month 8:00am to 12 noon",http://www.austintexas.gov/department/dove-springs-wic-center,512-972-4942,,DOV,Lease,"LX-Northbluff Center, L.P.","Community Services ",Clinic,2100,N/A,30.1877,-97.770891,0.6,rooftop,6801,"35 Svrd",Austin,TX,"Travis County",78744,US,"City of Austin"
"East Austin WIC Clinic","211 Comal St.
Austin, Texas 78702
(30.259745, -97.727356)",78702,"Monday to Thursday 8am to 6pm; closed 12noon to 1pm; Friday 8am to 12noon",http://www.austintexas.gov/department/east-austin-wic-clinic,512-972-4942,,EAN,Own,"City of Austin","Community Services ","Clinic, Neighborhood Center ",4304,1981,30.259559,-97.727785,1,rooftop,211,"Comal St",Austin,TX,"Travis County",78702,US,Capcog
"Elgin WIC Clinic","218 South Main Street
Elgin, Texas 78621
(30.345313, -97.369808)",78621,"Tuesdays 8:00am to 5:00pm, closed 12 noon to 12:30pm; Fridays 8:00am to 12:00pm",http://www.austintexas.gov/department/elgin-wic-clinic,512-972-4942,,ELG,N/A,"Travis County ","Community Services ",Clinic,1500,N/A,30.345279,-97.369817,1,rooftop,218,"S Main St",Elgin,TX,"Bastrop County",78621,US,Capcog
"Far South WIC Clinic","405 W. Stassney Lane
Austin, Texas 78745
(30.207010, -97.779239)",78745,"Monday and Tuesday 7:30am to 7:00pm, closed 12 noon to 1:00pm; Wednesday and Thursday 7:30am to 4:30pm, closed 12 noon to 12:30pm (Closed second Wednesday of each month); Fridays 7:30am to 12 noon; Second Saturday of each month 8:00am to 12 noon",http://www.austintexas.gov/department/far-south-wic-clinic,512-972-4942,,FSH,Own,"City of Austin","Comunity Services, Disease Prevention and Health Promotion",Clinic,4750,1982,30.206962,-97.779218,1,rooftop,405,"W Stassney Ln",Austin,TX,"Travis County",78745,US,Capcog
