Country Name,Country Code,Indicator Name,Indicator Code,2016
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.8
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.635
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.694
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.713
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Arab World,ARB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.32653240145394
United Arab Emirates,ARE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.748
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.293
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.612
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.051
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.809
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.49
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.94
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.697
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.7
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.977
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.353
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.104
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.53
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.033
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.767
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.36
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.733
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.51
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.61
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.878
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.726
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.797
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.874
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.051
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.73
